dForagingSD,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,choice_int,choice_slope,num_femlarva,num_malelarva,num_adults
0.5,61,7.12818,4,4,-1,-1,1,-1,1,0,2,0,1,2,0,1,-1,-4.94262,0.1163,0.0626405,1,0,1
0.5,62,7.15491,5,5,-1,-1,1,-1,0,1,2,1,0,1,0,1,-1,-4.98111,0.0492701,-0.0432472,0,1,1
0.5,63,7.23453,20,20,-1,-1,1,-1,0,0,2,1,0,1,0,1,-1,-4.9379,0.098107,-0.0318681,1,0,1
0.5,64,7.27916,23,23,-1,-1,1,-1,1,0,2,0,0,2,0,1,-1,-4.79867,0.11782,-0.0716834,0,1,1
0.5,65,7.3673,7,7,-1,-1,1,-1,1,1,2,0,1,2,0,1,-1,-4.9301,-0.0179966,0.0340398,0,1,1
0.5,66,7.38128,3,3,-1,-1,1,-1,0,1,2,1,0,1,0,1,-1,-5.06193,0.004106,-0.0844276,0,2,1
0.5,67,7.53649,9,9,-1,-1,1,-1,0,0,2,1,0,1,0,1,-1,-4.94612,0.0266136,-0.118661,0,2,1
0.5,68,7.5961,18,18,-1,-1,1,-1,1,1,2,0,1,2,0,1,-1,-4.83626,0,-0.0341123,0,1,1
0.5,69,7.68177,15,15,-1,-1,1,-1,0,0,2,1,0,1,0,1,-1,-4.91444,0.0186041,0.00867049,1,0,1
0.5,70,7.7183,19,19,-1,-1,1,-1,1,1,2,0,2,2,0,1,-1,-4.96258,0.0106202,-0.000921581,1,0,1
0.5,71,7.78048,6,6,-1,-1,1,-1,0,1,2,1,1,1,0,1,-1,-4.95884,0.0400825,0.089392,1,0,1
0.5,72,7.97258,8,8,-1,-1,1,-1,1,0,2,0,1,2,0,1,-1,-5.05536,-0.0249195,0.0340398,0,1,1
0.5,73,8.69986,1,1,-1,-1,1,-1,0,1,2,0,0,2,0,1,-1,-5.02015,0.098107,-0.00571052,1,2,1
0.5,74,8.94079,0,0,-1,-1,1,-1,0,1,2,0,1,2,0,1,-1,-4.81748,0.0819844,0.0284363,1,2,1
0.5,75,9.0914,24,24,-1,-1,1,-1,1,1,3,2,0,1,0,1,-1,-4.97336,0.123336,-0.0452988,0,0,1
0.5,76,9.56717,16,16,-1,-1,1,-1,1,0,3,2,1,1,0,1,-1,-4.78315,-0.0172881,-0.055587,0,0,1
0.5,77,9.59967,11,11,-1,-1,1,-1,1,0,3,2,0,1,0,1,-1,-5.08048,-0.065687,-0.0127983,0,0,1
0.5,78,9.8825,17,17,-1,-1,1,-1,1,0,3,2,1,1,0,1,-1,-5.09224,-0.033357,-0.0880163,0,0,1
0.5,79,10.1549,5,5,-1,-1,1,-1,1,1,3,1,0,2,0,1,-1,-4.98111,0.0492701,-0.0432472,0,1,1
0.5,80,10.1951,22,22,-1,-1,1,-1,0,0,3,2,0,1,0,1,-1,-4.97135,0,-0.0222648,1,0,1
0.5,81,10.2349,14,14,-1,-1,1,-1,0,0,3,2,1,1,0,1,-1,-4.88271,-0.0251456,0.16185,0,1,1
0.5,82,10.3673,7,7,-1,-1,1,-1,1,1,3,1,1,2,0,1,-1,-4.9301,-0.0179966,0.0340398,0,0,1
0.5,83,10.3813,3,3,-1,-1,1,-1,1,1,3,1,0,2,0,1,-1,-5.06193,0.004106,-0.0844276,0,1,1
0.5,84,10.5223,10,10,-1,-1,1,-1,0,0,3,2,0,1,0,1,-1,-5.0804,-0.0950704,-0.0307929,0,1,1
0.5,85,10.5961,18,18,-1,-1,1,-1,1,0,3,1,1,2,0,1,-1,-4.83626,0,-0.0341123,0,0,1
0.5,86,10.7183,19,19,-1,-1,1,-1,1,0,3,1,2,2,0,1,-1,-4.96258,0.0106202,-0.000921581,0,0,1
0.5,87,10.7805,6,6,-1,-1,1,-1,1,1,3,1,2,2,0,1,-1,-4.95884,0.0400825,0.089392,0,0,1
0.5,88,10.9629,13,13,-1,-1,1,-1,0,1,3,2,1,1,0,1,-1,-5,-0.163591,0.0202015,1,0,1
0.5,89,11.0832,21,21,-1,-1,1,-1,0,1,3,1,1,2,0,1,-1,-4.99899,-0.0636564,0.0654322,1,2,1
0.5,90,11.1282,4,4,-1,-1,1,-1,0,0,3,1,1,2,0,1,-1,-4.94262,0.1163,0.0626405,1,1,1
0.5,91,11.2345,20,20,-1,-1,1,-1,0,0,3,1,1,2,0,1,-1,-4.9379,0.098107,-0.0318681,1,1,1
0.5,92,11.2792,23,23,-1,-1,1,-1,0,0,3,1,0,2,0,1,-1,-4.79867,0.11782,-0.0716834,1,1,1
