gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std
1500.08,439490,0.000637921,0.0105476,-0.00266763,0.0152991,-5.0007,0.010414,1021,90,1,0.144914,19,21.2843,6,7.41215
1510.08,442425,0.000679859,0.0105869,-0.00273116,0.0155083,-5.00054,0.0102263,1022,185,1,0.148324,20,21.5057,6,7.51891
1520.08,445352,0.000693468,0.010577,-0.00300123,0.0163016,-5.00054,0.0102434,1023,278,1,0.151658,20,21.701,6,7.53956
1530.08,448329,0.000769752,0.010908,-0.00324844,0.01663,-5.00048,0.01039,1020,358,1,0.154919,19,21.4541,6,7.53744
1540.08,451270,0.000666197,0.0110983,-0.00337636,0.0168434,-5.00046,0.0103536,1021,460,1,0.144914,19,21.0796,6,7.42294
1550.08,454205,0.000710052,0.0108568,-0.00327962,0.0164957,-5.00054,0.0102315,1022,542,1,0.148324,19,21.3459,6,7.50686
1560.08,457135,0.000808488,0.0110321,-0.00342037,0.0167835,-5.00066,0.0105708,1024,623,1,0.167332,19,21.4877,6,7.5589
1570.08,460076,0.000817571,0.0114896,-0.00329936,0.0167694,-5.00048,0.0106315,1024,737,1,0.154919,19,21.7295,6,7.61328
1580.08,463022,0.000683962,0.0113112,-0.00347299,0.0170846,-5.00063,0.0109967,1023,835,1,0.151658,19,21.7543,6,7.58828
1590.08,465951,0.000733071,0.0116795,-0.00365433,0.0172782,-5.00071,0.0111115,1023,920,1,0.151658,19,21.783,6,7.61144
1600.08,468882,0.000712792,0.0116156,-0.00350466,0.017017,-5.00072,0.0111783,1024,94,1,0.154919,20,21.8225,6,7.67111
1610.08,471855,0.000837641,0.0118173,-0.00352718,0.0173113,-5.00087,0.0110717,1022,178,1,0.148324,20,21.9005,6,7.66727
1620.08,474783,0.000979433,0.0120221,-0.00332357,0.016949,-5.00086,0.011053,1020,260,1,0.141421,20,21.9537,6,7.68785
1630.08,477709,0.00103809,0.0121667,-0.00367758,0.0172519,-5.00096,0.0113174,1018,363,1,0.134164,19,21.973,6,7.60756
1640.08,480640,0.00104228,0.0124962,-0.00363666,0.0171557,-5.00112,0.0114097,1018,442,1,0.134164,19,21.9071,6,7.58716
1650.08,483570,0.000991201,0.0126203,-0.00364613,0.017461,-5.00118,0.0116604,1019,515,1,0.13784,19,22.102,6,7.61334
1660.08,486508,0.00101848,0.0124998,-0.00355937,0.0173854,-5.00111,0.011411,1022,591,1,0.154919,19,22.04,6,7.63341
1670.08,489457,0.00118022,0.0123782,-0.00324165,0.0163131,-5.00099,0.0114015,1024,674,1,0.161245,19,22.1861,6,7.68538
