dForagingSD,dForagingMean,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,beta0,beta1,beta2,beta3,beta4
0.5,0.5,123,20.0236,7,7,-1,-1,1,-1,0,0,5,0,2,5,0,1,-1,-4.94299,2,4,1,-0.142276,-0.00760676,0.0188464,-0.00517625,0.00273955
0.5,0.5,124,20.0486,1,1,-1,-1,1,-1,0,1,5,2,3,3,0,1,-1,-5.06833,1,1,1,-0.185167,0.0734629,-0.156024,0.135408,-0.0678596
0.5,0.5,125,20.0534,22,22,-1,-1,1,-1,0,0,5,0,1,5,0,1,-1,-5.14812,1,5,1,-0.15524,0.0639145,-0.0195419,-0.0537461,-0.0173659
0.5,0.5,126,20.1001,0,0,-1,-1,1,-1,0,0,5,3,1,2,0,1,-1,-5.02591,1,2,1,-0.0847636,0.128174,0.0241129,0,-0.00474605
0.5,0.5,127,20.1041,8,8,-1,-1,1,-1,1,0,5,1,2,4,0,1,-1,-5.03183,1,2,1,-0.120349,-0.00147435,-0.0585143,0,0.00389256
0.5,0.5,128,20.11,6,6,-1,-1,1,-1,1,1,5,3,1,2,0,1,-1,-5.0005,1,1,1,-0.33911,0.0453686,-0.00445822,0.0124028,0.0492758
0.5,0.5,129,20.1511,13,13,-1,-1,1,-1,1,0,5,1,3,4,0,1,-1,-5.02224,2,1,1,-0.0466348,0.0143304,-0.00353699,0.00534388,0.0137908
0.5,0.5,130,20.2211,23,23,-1,-1,1,-1,1,1,5,2,3,3,0,1,-1,-4.99185,2,0,1,-0.138165,0.0787176,0.0188464,0.0199556,-0.102767
0.5,0.5,131,20.3031,12,12,-1,-1,1,-1,1,1,5,2,2,3,0,1,-1,-5.02562,1,1,1,-0.10961,-0.0453735,0.0285812,0.00988535,0.0869962
0.5,0.5,132,20.3371,18,18,-1,-1,1,-1,0,0,5,2,3,3,0,1,-1,-5.01288,3,1,1,-0.0504902,0.108706,0.0327295,0.184521,-0.102767
0.5,0.5,133,20.4606,24,24,-1,-1,1,-1,1,1,5,4,1,1,0,1,-1,-5.01045,0,0,1,-0.0114853,0.102954,0.113069,0.0268479,-0.0343685
0.5,0.5,134,20.5853,2,2,-1,-1,1,-1,0,0,5,2,3,3,0,1,-1,-4.89804,3,1,1,-0.0436776,0.0991684,-0.0193513,-0.064729,-0.0678635
0.5,0.5,135,20.6417,9,9,-1,-1,1,-1,0,1,5,2,1,3,0,1,-1,-5.11003,2,2,1,-0.124859,-0.0218395,0.0248549,-0.00283721,-0.104984
0.5,0.5,136,20.6426,15,15,-1,-1,1,-1,1,1,5,3,2,2,0,1,-1,-5.00622,0,0,1,-0.0247402,0.0974362,0.0743849,0.0082115,-0.0787129
0.5,0.5,137,20.6649,4,4,-1,-1,1,-1,1,1,5,1,3,4,0,1,-1,-4.97628,3,1,1,-0.0847636,0.022031,-0.00601303,0.103662,-0.0106452
0.5,0.5,138,20.6919,21,21,-1,-1,1,-1,1,1,5,2,2,3,0,1,-1,-4.96022,2,1,1,-0.0168527,0.16389,-0.0550305,-0.057446,0.089305
0.5,0.5,139,20.7042,19,19,-1,-1,1,-1,1,1,5,3,2,2,0,1,-1,-5.02442,0,0,1,-0.106078,0.0371089,-0.00660117,-0.0707741,0.0364049
0.5,0.5,140,20.708,17,17,-1,-1,1,-1,1,1,5,1,0,4,0,1,-1,-5.02224,0,3,1,-0.112603,0.0271146,0.162476,-0.0153593,-0.0769137
