dForagingSD,dForagingMean,gtime,event,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std,beta1_avg,beta1_std,beta2_avg,beta2_std,beta3_avg,beta3_std,beta4_avg,beta4_std,beta5_avg,beta5_std
0.5,0.5,6950.15,2003893,-5.00975,0.0510557,1026,4026,1,0.178885,2,2.58708,2,2.5546,5,4.44601,-0.0175465,0.0702152,-0.133449,0.0966487,-0.00621398,0.0666042,0.0165621,0.070403,-0.0105661,0.0589189
0.5,0.5,7000.15,2018733,-5.01059,0.0519315,1026,2632,1,0.173205,2,2.08998,2,2.07702,4,3.59082,-0.0165654,0.0717368,-0.135776,0.0977077,-0.00590667,0.0679366,0.0163839,0.0701517,-0.0106993,0.0597831
0.5,0.5,7050.15,2033464,-5.0095,0.0515763,1019,3956,1,0.144914,2,2.73167,2,2.75009,5,4.80677,-0.0177349,0.0738116,-0.138427,0.0993553,-0.0058343,0.06628,0.0157231,0.0700518,-0.0103996,0.0620528
0.5,0.5,7100.15,2048055,-5.01166,0.0509549,1013,2646,1,0.114018,2,2.05985,2,1.99775,4,3.46468,-0.0153478,0.0727442,-0.136033,0.0989965,-0.00823949,0.0657166,0.0169638,0.0722606,-0.00896963,0.0609883
0.5,0.5,7150.15,2062605,-5.00984,0.0522516,1016,4032,1,0.126491,2,2.71606,2,2.7419,5,4.81757,-0.0149299,0.07455,-0.139691,0.101239,-0.00637303,0.0665183,0.01786,0.0720073,-0.0101633,0.0608652
0.5,0.5,7200.15,2077273,-5.00959,0.0550457,1017,2677,1,0.130384,2,1.94756,2,2.07292,4,3.45485,-0.0133329,0.0731911,-0.144964,0.102898,-0.00394392,0.0639849,0.017285,0.0713805,-0.00892806,0.0579888
0.5,0.5,7250.15,2091965,-5.01013,0.0546609,1023,4016,1,0.158114,2,2.54637,2,2.74809,5,4.64478,-0.0114776,0.0721772,-0.143564,0.10335,-0.00412942,0.0642603,0.0175315,0.0690098,-0.00982919,0.0579263
0.5,0.5,7300.15,2106703,-5.01034,0.0554002,1022,2666,1,0.167332,2,1.90945,2,2.05232,4,3.37787,-0.0111508,0.0726252,-0.142647,0.101179,-0.00331365,0.0650999,0.0163913,0.0702188,-0.00942243,0.0571655
0.5,0.5,7350.15,2121407,-5.01071,0.0566459,1021,4051,1,0.170294,2,2.52923,2,2.78729,5,4.72144,-0.0135965,0.0704243,-0.144988,0.10002,-0.000437488,0.0675481,0.0182121,0.071419,-0.00814716,0.0566529
0.5,0.5,7400.15,2136185,-5.00984,0.0583104,1024,2809,1,0.154919,2,1.92769,2,1.89895,4,3.29666,-0.013202,0.0684227,-0.146429,0.102763,-0.00196274,0.066695,0.0156715,0.070352,-0.00895401,0.0572368
